Year,Month,Date,Target,Category,Value,Item,Context,Method,Shop,Location
2023,1,2023-01-01,Present,Enjoyment & Social Life,2172,Expense item 0,Gift,Suika,Netflix,Kita-Senju
2023,1,2023-01-02,Living,Food,1222,Expense item 1,Gift,MASTER - 9031,Spotify,Tokyo
2023,1,2023-01-02,Living,Food,2776,Expense item 2,Work,Cash,Netflix,Tokyo
2023,1,2023-01-04,Present,Enjoyment & Social Life,877,Expense item 3,Travel,Cash,Vending Machine,Shibuya
2023,1,2023-01-06,Present,Enjoyment & Social Life,4142,Expense item 4,Personal,Suika,Amazon,Tachikawa
2023,1,2023-01-06,Future,Transport,11383,Expense item 5,Work,MASTER - 9031,Lawson,Shinjuku
2023,1,2023-01-06,Living,Utilities & Services,1804,Expense item 6,Work,Cash,FamilyMart,Shibuya
2023,1,2023-01-06,Living,Food,10791,Expense item 7,Gift,AMEX - 5508,Nikunohanamasa,Online
2023,1,2023-01-07,Future,Transport,6795,Expense item 8,Personal,Cash,Vending Machine,Shinjuku
2023,1,2023-01-07,Present,Clothing,6980,Expense item 9,Gift,Suika,Netflix,Online
2023,1,2023-01-07,Living,Food,12565,Expense item 10,Daily,AMEX - 5508,Spotify,Shinjuku
2023,1,2023-01-08,Present,Enjoyment & Social Life,4327,Expense item 11,Gift,Credit Card,Lawson,Shibuya
2023,1,2023-01-08,Present,Subscriptions,660,Expense item 12,Personal,MASTER - 9031,Nikunohanamasa,Kita-Senju
2023,1,2023-01-08,Living,Basic Personal Care,1926,Expense item 13,Travel,Cash,Netflix,Shinjuku
2023,1,2023-01-09,Future,Transport,11337,Expense item 14,Daily,MASTER - 9031,Amazon,Kita-Senju
2023,1,2023-01-09,Future,Transport,12066,Expense item 15,Daily,Cash,Amazon,Shibuya
2023,1,2023-01-09,Present,Enjoyment & Social Life,3737,Expense item 16,Gift,MASTER - 9031,FamilyMart,Kita-Senju
2023,1,2023-01-09,Present,Enjoyment & Social Life,2889,Expense item 17,Personal,AMEX - 5508,Netflix,Shinjuku
2023,1,2023-01-10,Future,Transport,8778,Expense item 18,Work,AMEX - 5508,UQ,Kita-Senju
2023,1,2023-01-10,Present,Hobbies & Leisure,3271,Expense item 19,Travel,AMEX - 5508,Lawson,Shibuya
2023,1,2023-01-11,Living,Basic Personal Care,2335,Expense item 20,Daily,Credit Card,Nikunohanamasa,Shinjuku
2023,1,2023-01-11,Present,Enjoyment & Social Life,441,Expense item 21,Personal,MASTER - 9031,Amazon,Shibuya
2023,1,2023-01-11,Present,Enjoyment & Social Life,1270,Expense item 22,Personal,Cash,Vending Machine,Tokyo
2023,1,2023-01-12,Present,Enjoyment & Social Life,3381,Expense item 23,Work,MASTER - 9031,Amazon,Online
2023,1,2023-01-12,Present,Enjoyment & Social Life,3128,Expense item 24,Personal,Cash,Amazon,Tokyo
2023,1,2023-01-12,Living,Utilities & Services,6524,Expense item 25,Daily,Credit Card,Nikunohanamasa,Tachikawa
2023,1,2023-01-12,Present,Hobbies & Leisure,2585,Expense item 26,Travel,Suika,Nikunohanamasa,Shibuya
2023,1,2023-01-12,Present,Transport,764,Expense item 27,Work,MASTER - 9031,UQ,Online
2023,1,2023-01-13,Present,Subscriptions,1999,Expense item 28,Gift,Cash,Amazon,Shinjuku
2023,1,2023-01-13,Future,Transport,9179,Expense item 29,Personal,Credit Card,Mall,Tachikawa
2023,1,2023-01-14,Living,Basic Personal Care,233,Expense item 30,Daily,MASTER - 9031,Amazon,Tokyo
2023,1,2023-01-14,Living,Clothing,5201,Expense item 31,Work,MASTER - 9031,Netflix,Shibuya
2023,1,2023-01-15,Present,Clothing,1130,Expense item 32,Personal,Cash,Spotify,Kita-Senju
2023,1,2023-01-15,Living,Transport,14356,Expense item 33,Daily,AMEX - 5508,Netflix,Tokyo
2023,1,2023-01-15,Present,Enjoyment & Social Life,551,Expense item 34,Gift,MASTER - 9031,Netflix,Kita-Senju
2023,1,2023-01-16,Present,Subscriptions,1277,Expense item 35,Travel,Credit Card,Vending Machine,Tachikawa
2023,1,2023-01-19,Living,Transport,8346,Expense item 36,Daily,AMEX - 5508,Nikunohanamasa,Tokyo
2023,1,2023-01-20,Present,Hobbies & Leisure,143,Expense item 37,Personal,MASTER - 9031,Netflix,Shinjuku
2023,1,2023-01-21,Present,Hobbies & Leisure,4403,Expense item 38,Travel,AMEX - 5508,FamilyMart,Shibuya
2023,1,2023-01-21,Living,Food,9912,Expense item 39,Travel,AMEX - 5508,Netflix,Tokyo
2023,1,2023-01-22,Living,Utilities & Services,6311,Expense item 40,Gift,AMEX - 5508,Amazon,Shibuya
2023,1,2023-01-23,Present,Enjoyment & Social Life,2778,Expense item 41,Personal,AMEX - 5508,Seven,Shibuya
2023,1,2023-01-23,Future,Transport,14494,Expense item 42,Travel,AMEX - 5508,Mall,Tokyo
2023,1,2023-01-24,Living,Utilities & Services,7133,Expense item 43,Daily,Cash,FamilyMart,Kita-Senju
2023,1,2023-01-24,Living,Basic Personal Care,2445,Expense item 44,Daily,Credit Card,UQ,Kita-Senju
2023,1,2023-01-25,Living,Basic Personal Care,1925,Expense item 45,Travel,MASTER - 9031,FamilyMart,Online
2023,1,2023-01-25,Present,Clothing,11944,Expense item 46,Work,Suika,Amazon,Online
2023,1,2023-01-25,Living,Basic Personal Care,435,Expense item 47,Daily,Suika,Netflix,Shibuya
2023,1,2023-01-26,Present,Hobbies & Leisure,5089,Expense item 48,Daily,AMEX - 5508,Lawson,Shinjuku
2023,1,2023-01-27,Future,Clothing,7895,Expense item 49,Work,MASTER - 9031,Seven,Online
2023,1,2023-01-27,Living,Utilities & Services,1243,Expense item 50,Gift,Cash,Lawson,Shinjuku
2023,1,2023-01-27,Present,Clothing,5222,Expense item 51,Gift,Suika,Spotify,Kita-Senju
2023,1,2023-01-27,Present,Subscriptions,2096,Expense item 52,Personal,Suika,Seven,Online
2023,1,2023-01-28,Future,Clothing,8193,Expense item 53,Work,AMEX - 5508,Amazon,Online
2023,1,2023-01-28,Present,Subscriptions,1228,Expense item 54,Personal,Cash,Mall,Shinjuku
2023,1,2023-01-28,Living,Transport,5055,Expense item 55,Daily,Credit Card,FamilyMart,Tokyo
2023,1,2023-01-28,Present,Subscriptions,73,Expense item 56,Gift,Cash,Lawson,Kita-Senju
2023,1,2023-01-29,Future,Clothing,11754,Expense item 57,Work,MASTER - 9031,Spotify,Tachikawa
2023,1,2023-01-29,Living,Basic Personal Care,2577,Expense item 58,Work,Credit Card,Vending Machine,Online
2023,1,2023-01-29,Present,Subscriptions,17,Expense item 59,Work,MASTER - 9031,Amazon,Shibuya
2023,1,2023-01-29,Living,Food,7281,Expense item 60,Work,Credit Card,Netflix,Shinjuku
2023,1,2023-01-29,Future,Clothing,2371,Expense item 61,Personal,Suika,FamilyMart,Online
2023,1,2023-01-30,Present,Subscriptions,565,Expense item 62,Gift,AMEX - 5508,Lawson,Tachikawa
2023,1,2023-01-30,Future,Clothing,4093,Expense item 63,Work,Credit Card,FamilyMart,Online
2023,1,2023-01-30,Living,Utilities & Services,1732,Expense item 64,Gift,Cash,Nikunohanamasa,Shinjuku
2023,1,2023-01-30,Present,Hobbies & Leisure,4306,Expense item 65,Daily,MASTER - 9031,Netflix,Tokyo
2023,1,2023-01-31,Future,Clothing,1752,Expense item 66,Daily,Suika,Mall,Online
2023,2,2023-02-01,Present,Subscriptions,413,Expense item 67,Work,MASTER - 9031,Netflix,Shibuya
2023,2,2023-02-01,Living,Clothing,10673,Expense item 68,Gift,AMEX - 5508,FamilyMart,Online
2023,2,2023-02-01,Present,Subscriptions,1311,Expense item 69,Work,Suika,Vending Machine,Kita-Senju
2023,2,2023-02-02,Living,Food,3049,Expense item 70,Work,MASTER - 9031,FamilyMart,Shibuya
2023,2,2023-02-03,Living,Utilities & Services,9638,Expense item 71,Gift,Suika,Seven,Kita-Senju
2023,2,2023-02-03,Living,Food,10530,Expense item 72,Daily,Cash,Netflix,Shibuya
2023,2,2023-02-04,Present,Enjoyment & Social Life,1251,Expense item 73,Work,Suika,Netflix,Online
2023,2,2023-02-05,Present,Enjoyment & Social Life,3983,Expense item 74,Daily,AMEX - 5508,Lawson,Tokyo
2023,2,2023-02-06,Present,Subscriptions,417,Expense item 75,Personal,Credit Card,Netflix,Tachikawa
2023,2,2023-02-06,Living,Food,6588,Expense item 76,Gift,AMEX - 5508,Nikunohanamasa,Kita-Senju
2023,2,2023-02-07,Living,Clothing,8418,Expense item 77,Daily,Suika,FamilyMart,Shibuya
2023,2,2023-02-07,Future,Clothing,3651,Expense item 78,Gift,AMEX - 5508,Lawson,Tachikawa
2023,2,2023-02-07,Present,Subscriptions,1236,Expense item 79,Travel,Credit Card,Vending Machine,Shibuya
2023,2,2023-02-08,Living,Utilities & Services,2958,Expense item 80,Work,MASTER - 9031,Spotify,Kita-Senju
2023,2,2023-02-08,Living,Food,1546,Expense item 81,Gift,MASTER - 9031,FamilyMart,Online
2023,2,2023-02-08,Living,Utilities & Services,3599,Expense item 82,Daily,Credit Card,Netflix,Kita-Senju
2023,2,2023-02-08,Present,Clothing,2126,Expense item 83,Work,MASTER - 9031,Vending Machine,Shibuya
2023,2,2023-02-09,Present,Enjoyment & Social Life,9322,Expense item 84,Travel,MASTER - 9031,Spotify,Tachikawa
2023,2,2023-02-10,Present,Subscriptions,664,Expense item 85,Travel,Cash,Lawson,Shinjuku
2023,2,2023-02-11,Present,Enjoyment & Social Life,4912,Expense item 86,Travel,MASTER - 9031,Nikunohanamasa,Online
2023,2,2023-02-11,Present,Enjoyment & Social Life,5953,Expense item 87,Gift,Credit Card,Lawson,Tokyo
2023,2,2023-02-11,Living,Food,11939,Expense item 88,Gift,Suika,Spotify,Tokyo
2023,2,2023-02-12,Living,Transport,5423,Expense item 89,Travel,Suika,Lawson,Tokyo
2023,2,2023-02-12,Living,Food,6275,Expense item 90,Work,Credit Card,UQ,Shinjuku
2023,2,2023-02-12,Present,Subscriptions,972,Expense item 91,Personal,MASTER - 9031,Spotify,Tachikawa
2023,2,2023-02-14,Present,Hobbies & Leisure,5686,Expense item 92,Work,MASTER - 9031,Seven,Shinjuku
2023,2,2023-02-15,Present,Subscriptions,1045,Expense item 93,Work,MASTER - 9031,UQ,Kita-Senju
2023,2,2023-02-15,Present,Subscriptions,1270,Expense item 94,Gift,AMEX - 5508,Netflix,Kita-Senju
2023,2,2023-02-16,Future,Transport,14675,Expense item 95,Work,Credit Card,Nikunohanamasa,Shibuya
2023,2,2023-02-16,Future,Transport,9733,Expense item 96,Travel,Suika,Spotify,Tachikawa
2023,2,2023-02-18,Present,Hobbies & Leisure,5951,Expense item 97,Personal,MASTER - 9031,Amazon,Online
2023,2,2023-02-18,Future,Clothing,3432,Expense item 98,Travel,MASTER - 9031,UQ,Kita-Senju
2023,2,2023-02-18,Future,Clothing,6655,Expense item 99,Work,Credit Card,Vending Machine,Shinjuku
2023,2,2023-02-19,Living,Basic Personal Care,1397,Expense item 100,Work,Credit Card,Nikunohanamasa,Shinjuku
2023,2,2023-02-20,Living,Basic Personal Care,1347,Expense item 101,Travel,Suika,Vending Machine,Tokyo
2023,2,2023-02-21,Future,Transport,14972,Expense item 102,Travel,Credit Card,Seven,Tokyo
2023,2,2023-02-21,Future,Clothing,498,Expense item 103,Work,Credit Card,Vending Machine,Tokyo
2023,2,2023-02-21,Living,Basic Personal Care,3646,Expense item 104,Work,Cash,Vending Machine,Tokyo
2023,2,2023-02-21,Present,Enjoyment & Social Life,4276,Expense item 105,Work,Cash,Amazon,Tokyo
2023,2,2023-02-22,Present,Clothing,11418,Expense item 106,Daily,Suika,Vending Machine,Online
2023,2,2023-02-22,Living,Food,4619,Expense item 107,Personal,Credit Card,Vending Machine,Kita-Senju
2023,2,2023-02-22,Present,Transport,5648,Expense item 108,Personal,Suika,Mall,Kita-Senju
2023,2,2023-02-22,Living,Basic Personal Care,3368,Expense item 109,Personal,Suika,Lawson,Tokyo
2023,2,2023-02-23,Living,Basic Personal Care,2119,Expense item 110,Work,Suika,Spotify,Kita-Senju
2023,2,2023-02-23,Present,Transport,8006,Expense item 111,Personal,AMEX - 5508,Nikunohanamasa,Shinjuku
2023,2,2023-02-23,Present,Transport,12566,Expense item 112,Personal,Cash,Seven,Tachikawa
2023,2,2023-02-24,Present,Hobbies & Leisure,2939,Expense item 113,Daily,Credit Card,Mall,Shinjuku
2023,2,2023-02-24,Future,Clothing,5829,Expense item 114,Travel,Suika,Amazon,Tokyo
2023,2,2023-02-24,Present,Hobbies & Leisure,1036,Expense item 115,Travel,Suika,Nikunohanamasa,Kita-Senju
2023,2,2023-02-24,Present,Subscriptions,589,Expense item 116,Personal,Credit Card,Lawson,Kita-Senju
2023,2,2023-02-25,Future,Transport,4615,Expense item 117,Daily,MASTER - 9031,UQ,Shibuya
2023,2,2023-02-25,Present,Hobbies & Leisure,2257,Expense item 118,Work,Suika,Vending Machine,Online
2023,2,2023-02-27,Living,Clothing,1456,Expense item 119,Daily,Credit Card,FamilyMart,Shibuya
2023,2,2023-02-27,Living,Utilities & Services,6400,Expense item 120,Daily,Suika,Vending Machine,Tokyo
2023,2,2023-02-28,Present,Hobbies & Leisure,1928,Expense item 121,Personal,AMEX - 5508,Spotify,Tokyo
2023,2,2023-02-28,Present,Transport,10048,Expense item 122,Daily,AMEX - 5508,FamilyMart,Online
2023,2,2023-02-28,Living,Utilities & Services,2153,Expense item 123,Gift,Suika,Spotify,Online
2023,3,2023-03-01,Present,Hobbies & Leisure,2370,Expense item 124,Personal,AMEX - 5508,Seven,Tachikawa
2023,3,2023-03-01,Living,Food,1458,Expense item 125,Work,Cash,UQ,Tokyo
2023,3,2023-03-01,Present,Enjoyment & Social Life,4421,Expense item 126,Gift,Suika,Mall,Kita-Senju
2023,3,2023-03-02,Future,Clothing,3241,Expense item 127,Daily,Suika,Lawson,Online
2023,3,2023-03-02,Present,Clothing,11636,Expense item 128,Gift,Suika,Vending Machine,Tachikawa
2023,3,2023-03-02,Living,Utilities & Services,2513,Expense item 129,Work,AMEX - 5508,Mall,Shibuya
2023,3,2023-03-02,Living,Basic Personal Care,3638,Expense item 130,Travel,Cash,UQ,Tachikawa
2023,3,2023-03-02,Present,Transport,7517,Expense item 131,Daily,Cash,Lawson,Shibuya
2023,3,2023-03-03,Present,Enjoyment & Social Life,2080,Expense item 132,Daily,Suika,Vending Machine,Kita-Senju
2023,3,2023-03-03,Living,Food,13156,Expense item 133,Daily,Suika,Seven,Tokyo
